fold,csp__n_components,svm__C,svm__kernel,inner_best_balanced_accuracy,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
1,2,0.1,linear,0.5303495614837349,0.48792270531400966,0.4778504672897196,0.42857142857142855,0.18,0.2535211267605634,0.5144859813084113
2,4,0.1,linear,0.5355819125277984,0.49514563106796117,0.49513829887661664,0.47572815533980584,0.494949494949495,0.48514851485148514,0.4882469555366752
3,4,10.0,rbf,0.5457305234918282,0.46116504854368934,0.453365430000944,0.4032258064516129,0.25252525252525254,0.3105590062111801,0.4744642688567922
4,2,1.0,linear,0.522496571051056,0.5194174757281553,0.5197169811320754,0.5047619047619047,0.53,0.5170731707317073,0.5140566037735849
5,2,10.0,rbf,0.5309528623094227,0.5485436893203883,0.5432075471698112,0.5538461538461539,0.36,0.43636363636363634,0.48080188679245284
