Model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,oof_accuracy,oof_f1
Dummy most_frequent,0.5169738755217861,0.5,0.0,0.0,0.0,0.5,0.5169738118331717,0.0
Dummy stratified,0.5091787439613527,0.5080216162684863,0.4916666666666667,0.47389898989898993,0.4826164311878598,0.5080216162684863,0.5092143549951503,0.48261758691206547
Logistic Regression (simple EEG features),0.5111814642840391,0.5060076732765852,0.4932094935154178,0.3553939393939394,0.41203122018555194,0.5024812496326339,0.5111542192046556,0.4125874125874126
Random Forest (simple EEG features),0.5092490971342808,0.505387113953857,0.4877774014647983,0.38973737373737377,0.43202651570547673,0.5019180991719344,0.5092143549951503,0.43400447427293065
