Model,Accuracy Mean,Accuracy Std,Balanced Accuracy,Precision,Recall,F1 Score,ROC-AUC,Number of Parameters,Training Time
CSP + SVM,0.5014680362084329,0.0074360578501778,0.4965304624449396,0.4712929260929884,0.3612323232323232,0.3865850945596073,0.5135600120407033,,1.3465766999997868
EEGNet,0.5179259884620796,0.0163218997297062,0.5133636666435115,0.499586321278764,0.3525252525252526,0.3446914573769045,0.5170032043232538,1426.0,15.566418800000063
CNN,0.5072463768115942,0.0248063731430041,0.5039881196019442,0.486929567660786,0.4096161616161616,0.422087009630567,0.4917393641938695,26834.0,18.56319459999986
CNN-LSTM,0.5092115754420524,0.012877465818563,0.498781422049805,0.5707775524002704,0.1788888888888888,0.2032759211520766,0.4887436657173035,37202.0,23.91528980000021
Transformer,0.5034144739927771,0.02384658523393495,0.49397066058219286,0.46102916171845126,0.22068686868686868,0.2831382018773582,0.4907760420284667,44402.0,15.446340999999848
