fold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,best_epoch,best_validation_loss,train_loss_at_best,train_accuracy_at_best,validation_loss_at_best,validation_accuracy_at_best,train_count,validation_count,test_count
1,0.5120772946859904,0.5090654205607477,0.49411764705882355,0.42,0.4540540540540541,0.47392523364485983,4,0.6905047605114598,0.6752148771286011,0.5885714285714285,0.6905047605114598,0.5080645161290323,700,124,207
2,0.5097087378640777,0.4921646370244501,0.4,0.04040404040404041,0.07339449541284404,0.4082884924006419,1,0.6921745423347719,0.6906388094183722,0.5221112696148359,0.6921745423347719,0.5241935483870968,701,124,206
3,0.4854368932038835,0.48239403379590295,0.45977011494252873,0.40404040404040403,0.43010752688172044,0.49268384782403474,4,0.6895268444092043,0.6799485542294642,0.5977175463623395,0.6895268444092043,0.532258064516129,701,124,206
4,0.5242718446601942,0.51,1.0,0.02,0.0392156862745098,0.5487735849056603,1,0.6921574684881395,0.6922721526081994,0.5192582025677603,0.6921574684881395,0.5241935483870968,701,124,206
5,0.5145631067961165,0.5002830188679245,0.5,0.01,0.0196078431372549,0.5200471698113209,1,0.6937939447741355,0.690720711557059,0.5263908701854494,0.6937939447741355,0.5161290322580645,701,124,206
