fold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,best_epoch,best_validation_loss,train_loss_at_best,train_accuracy_at_best,validation_loss_at_best,validation_accuracy_at_best,train_count,validation_count,test_count
1,0.4830917874396135,0.47285046728971963,0.4146341463414634,0.17,0.24113475177304963,0.47906542056074775,2,0.6929825909676091,0.6794980883598327,0.56,0.6929825909676091,0.5161290322580645,700,124,207
2,0.5097087378640777,0.5008496176720476,0.48214285714285715,0.2727272727272727,0.34838709677419355,0.48362125932219396,1,0.7049641166963885,0.679540689508517,0.5663338088445078,0.7049641166963885,0.46774193548387094,701,124,206
3,0.47572815533980584,0.46058718021334843,0.30434782608695654,0.0707070707070707,0.11475409836065574,0.45020296422165584,4,0.7070114939443527,0.673676681416521,0.5649072753209701,0.7070114939443527,0.49193548387096775,701,124,206
4,0.5436893203883495,0.5328301886792453,0.6153846153846154,0.16,0.25396825396825395,0.5308490566037736,2,0.6947530584950601,0.6794165482534662,0.5477888730385164,0.6947530584950601,0.5080645161290323,701,124,206
5,0.5048543689320388,0.5027358490566037,0.48863636363636365,0.43,0.4574468085106383,0.5101415094339623,2,0.708230068606715,0.6752876729495856,0.5848787446504993,0.708230068606715,0.4274193548387097,701,124,206
