fold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
1,0.48792270531400966,0.4785046728971962,0.43478260869565216,0.2,0.273972602739726,0.5074766355140187
2,0.5,0.49981119607287827,0.4803921568627451,0.494949494949495,0.48756218905472637,0.5125082601718116
3,0.5097087378640777,0.49518549985839705,0.46153846153846156,0.12121212121212122,0.192,0.4772491267818371
4,0.5048543689320388,0.5066981132075472,0.49137931034482757,0.57,0.5277777777777778,0.5374528301886793
5,0.5048543689320388,0.5024528301886793,0.4883720930232558,0.42,0.45161290322580644,0.5331132075471698
