fold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,best_epoch,best_validation_loss,train_loss_at_best,train_accuracy_at_best,validation_loss_at_best,validation_accuracy_at_best,train_count,validation_count,test_count
1,0.5362318840579711,0.5278504672897196,0.5384615384615384,0.28,0.3684210526315789,0.45112149532710283,2,0.6908939307735812,0.6430503933770316,0.6357142857142857,0.6908939307735812,0.5,700,124,207
2,0.48058252427184467,0.4841404701217785,0.4672131147540984,0.5757575757575758,0.5158371040723982,0.49929198527329366,1,0.705204104223559,0.6727370854451211,0.6077032810271041,0.705204104223559,0.5403225806451613,701,124,206
3,0.47572815533980584,0.4666289058812423,0.41818181818181815,0.23232323232323232,0.2987012987012987,0.47191541584064955,6,0.6904914494483702,0.5852570111163162,0.7360912981455064,0.6904914494483702,0.5725806451612904,701,124,206
4,0.5145631067961165,0.5070754716981132,0.5,0.25,0.3333333333333333,0.500566037735849,1,0.6942980327913838,0.6676790355445655,0.6062767475035663,0.6942980327913838,0.5161290322580645,701,124,206
5,0.529126213592233,0.5342452830188679,0.5107913669064749,0.71,0.5941422594142259,0.5358018867924529,1,0.7072659865502389,0.670309340562698,0.5877318116975749,0.7072659865502389,0.49193548387096775,701,124,206
