fold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,best_epoch,best_validation_loss,train_loss_at_best,train_accuracy_at_best,validation_loss_at_best,validation_accuracy_at_best,train_count,validation_count,test_count
1,0.5362318840579711,0.5239252336448598,0.5714285714285714,0.16,0.25,0.5506542056074767,2,0.6921497179615882,0.6886734070096697,0.55,0.6921497179615882,0.5403225806451613,700,124,207
2,0.5242718446601942,0.540923251203625,0.5026178010471204,0.9696969696969697,0.6620689655172414,0.5649013499480788,1,0.697956544737662,0.6939839111075081,0.4864479315263909,0.697956544737662,0.49193548387096775,701,124,206
3,0.49029126213592233,0.48291324459548757,0.453125,0.29292929292929293,0.3558282208588957,0.4687057490795809,10,0.6842927605875077,0.6729724382537918,0.6019971469329529,0.6842927605875077,0.5645161290322581,701,124,206
4,0.529126213592233,0.5226415094339623,0.5263157894736842,0.3,0.3821656050955414,0.5404245283018868,2,0.6924652091918453,0.689727015740181,0.5492154065620543,0.6924652091918453,0.5241935483870968,701,124,206
5,0.5097087378640777,0.49641509433962266,0.4444444444444444,0.04,0.07339449541284404,0.4603301886792453,1,0.6925013469111535,0.6924782965900894,0.5235378031383737,0.6925013469111535,0.532258064516129,701,124,206
